city,country,long,lat,Temperature,Humidity (%),Cloudiness(%),Wind Speed (mph)
camopi,GF,-52.3158,3.1655,77.18,77,100,4.59
merauke,ID,140.3333,-8.4667,85.86,61,70,5.46
coquimbo,CL,-71.3436,-29.9533,55.13,94,20,4.61
bo phloi,TH,99.5161,14.3236,74.25,96,100,2.66
san mateo del mar,MX,-95.0,16.2,84.31,71,7,23.96
kyzyl-mazhalyk,RU,90.6,51.1333,28.15,83,24,0.45
rosetta,EG,30.4164,31.4044,72.72,80,15,8.32
ucluelet,CA,-125.5528,48.9329,51.08,89,100,5.41
olafsvik,IS,-23.7142,64.8945,41.68,89,91,31.92
katherine,AU,132.2667,-14.4667,88.12,62,90,11.5
saint joseph,US,-94.8466,39.7686,46.85,94,90,19.57
la union,PE,-80.75,-5.4,71.62,62,15,17.69
grand baie,MU,57.5802,-20.0182,74.44,76,15,4.0
poum,NC,164.0167,-20.2333,76.75,76,4,12.28
tevaitoa,PF,-151.5,-16.7833,76.39,89,80,13.49
coihaique,CL,-72.0662,-45.5752,57.15,51,90,3.44
ambon,ID,128.1814,-3.6954,80.74,69,20,2.3
savannah bight,HN,-85.85,16.45,84.25,76,69,10.85
san vicente,AR,-54.1333,-26.6167,70.05,71,79,2.84
iquique,CL,-70.1431,-20.2208,60.84,74,39,1.54
aripuana,BR,-60.6333,-9.1667,72.72,98,96,0.92
sao jose da coroa grande,BR,-35.1478,-8.8978,76.89,80,98,9.24
rio gallegos,AR,-69.2181,-51.6226,64.45,42,40,5.75
tumpat,MY,102.171,6.1978,78.82,94,40,1.14
inta,RU,60.1659,66.0317,15.46,90,72,12.46
noumea,NC,166.4572,-22.2763,81.0,99,2,14.56
huarmey,PE,-78.1522,-10.0681,65.01,84,61,9.35
okha,RU,142.9478,53.5739,37.49,81,14,4.9
marrakesh,MA,-8.0083,31.6315,62.67,72,40,5.75
karla,EE,24.9275,59.3723,51.96,87,90,13.8
oistins,BB,-59.5333,13.0667,80.69,74,20,11.5
real,PH,121.6047,14.6625,76.39,79,64,15.5
grafton,US,-71.6856,42.207,39.38,83,1,0.0
cabo san lucas,MX,-109.9124,22.8909,83.21,65,20,4.61
basi,IN,76.0333,26.8333,61.14,43,0,2.53
talaya,RU,152.75,61.3833,9.41,91,49,2.66
wattegama,LK,81.4808,6.7989,74.62,94,99,2.15
andros town,BS,-77.7667,24.7,82.36,74,100,11.48
jalu,LY,21.5482,29.0331,71.96,44,29,7.25
quelimane,MZ,36.8883,-17.8786,71.55,78,0,3.44
pitimbu,BR,-34.8086,-7.4706,77.59,75,85,13.02
shache,CN,77.2406,38.4167,44.28,37,65,1.45
heyang,CN,107.473,26.1011,53.17,97,100,4.12
fomboni,KM,43.7425,-12.28,78.96,68,43,16.35
uruzgan,AF,66.0,32.8333,46.24,30,1,2.48
kabalo,CD,26.9167,-6.05,68.5,86,100,3.15
zhicheng,CN,111.5047,30.2956,62.11,71,97,2.62
yerbogachen,RU,108.0108,61.2767,15.58,84,63,10.6
ahuimanu,US,-157.8378,21.4447,80.91,67,40,9.22
poya,NC,165.15,-21.35,81.99,59,5,4.92
nhulunbuy,AU,136.7667,-12.2333,88.41,62,40,12.66
imbituba,BR,-48.6703,-28.24,69.69,82,67,5.12
puerto asis,CO,-76.5007,0.5133,71.71,97,26,2.53
barnstaple,GB,-4.0581,51.0802,57.02,95,100,17.98
christiana,ZA,25.1611,-27.914,63.03,76,99,18.37
dunedin,NZ,170.5036,-45.8742,59.81,72,83,8.99
praya,CV,-23.5087,14.9215,78.6,81,100,12.24
saint-leu,RE,55.2833,-21.15,71.62,98,7,14.9
scottsboro,US,-86.0341,34.6723,57.2,100,75,6.91
japura,ID,102.35,-0.3167,76.12,94,98,1.79
aquiraz,BR,-38.3911,-3.9014,80.69,76,8,12.64
masingbi,SL,-11.95,8.7833,72.99,98,100,0.6
tromso,NO,18.957,69.6496,41.72,93,75,3.0
keflavik,IS,-22.5624,64.0049,43.14,81,75,20.71
chicama,PE,-79.1469,-7.8447,59.54,76,19,6.33
clarence town,AU,151.7833,-32.5833,79.9,39,100,13.33
hasaki,JP,140.8333,35.7333,57.52,52,95,25.55
lerwick,GB,-1.1494,60.1545,50.0,93,100,8.48
sao sebastiao do paraiso,BR,-46.9914,-20.9169,64.49,97,100,4.41
derzhavinsk,KZ,66.3167,51.1,33.04,54,97,15.61
kendari,ID,122.4989,-3.945,82.67,77,48,1.54
lakeside,US,-81.7682,30.13,70.95,87,75,5.75
kijang,KR,129.2139,35.2442,62.02,57,22,16.15
clyde river,CA,-68.5914,70.4692,30.16,95,100,4.85
mvuma,ZW,30.5283,-19.2792,57.65,76,6,9.31
flinders,AU,150.8552,-34.5833,83.8,47,50,8.01
tiznit,MA,-9.5,29.5833,60.93,74,0,1.63
sarakhs,IR,61.1577,36.5449,43.52,75,0,5.86
copiapo,CL,-70.3333,-27.3667,53.29,44,0,2.57
maues,BR,-57.7186,-3.3836,73.38,92,54,2.39
tabuk,PH,121.4443,17.4189,75.67,80,60,1.92
bandarbeyla,SO,50.8122,9.4942,75.7,73,0,3.44
kawalu,ID,108.2082,-7.3817,75.78,91,100,0.63
pangnirtung,CA,-65.7125,66.1451,29.41,98,100,2.8
te anau,NZ,167.7167,-45.4167,63.36,60,9,1.63
alta floresta,BR,-56.0861,-9.8756,73.04,82,49,2.33
maniitsoq,GL,-52.9,65.4167,30.51,69,100,9.48
erie,US,-78.6664,42.7667,47.23,82,100,10.13
toribio,CO,-76.2684,2.9548,67.46,96,81,6.17
koslan,RU,48.8989,63.4564,20.34,93,40,5.03
yumen,CN,97.2,40.2833,37.92,40,48,4.05
majene,ID,118.9707,-3.5403,82.13,78,100,4.76
paka,MY,103.4368,4.6374,76.93,94,40,0.0
zonguldak,TR,31.8333,41.25,46.6,70,99,2.77
sept-iles,CA,-66.3821,50.2001,30.72,93,1,0.0
puyang,CN,119.8861,29.4603,60.04,78,0,2.84
isiro,CD,27.616,2.7739,66.4,99,99,1.72
tuscaloosa,US,-87.5692,33.2098,58.24,85,90,3.44
sorong,ID,131.25,-0.8833,83.62,75,95,11.05
khandyga,RU,135.6,62.6667,17.46,93,98,7.09
lady lake,US,-81.9229,28.9175,73.76,89,75,3.0
paso de los toros,UY,-56.5167,-32.8167,69.37,73,28,11.27
juchitlan,MX,-104.1167,20.0833,76.08,54,36,4.81
swift current,CA,-107.8014,50.2834,45.41,42,75,9.22
rantepao,ID,119.8978,-2.9701,75.07,83,92,0.94
iqaluit,CA,-68.5145,63.7506,33.66,74,96,4.56
paamiut,GL,-49.6678,61.994,33.46,75,100,13.2
nome,US,-165.4064,64.5011,24.87,68,90,11.5
urubamba,PE,-72.1158,-13.3047,63.5,77,92,5.3
nevel,RU,29.9284,56.0209,51.37,96,100,8.43
jumla,NP,82.1838,29.2747,42.62,61,0,4.54
vieste,IT,16.175,41.8825,48.7,70,26,4.09
starosubkhangulovo,RU,57.4423,53.1031,35.31,73,100,8.46
balezino,RU,53.0106,57.9796,21.4,88,57,8.59
alaca,TR,34.8425,40.1683,43.88,88,67,5.1
vermillion,US,-96.9292,42.7794,51.98,59,32,18.99
sangar,RU,127.4739,63.9242,19.18,95,100,6.87
mayo,US,-76.5119,38.8876,60.15,80,90,11.99
zomin,UZ,68.3958,39.9606,45.81,75,92,1.41
kandrian,PG,149.55,-6.2167,85.66,68,95,4.94
toba,JP,136.85,34.4833,62.6,60,4,18.77
doha,QA,51.5333,25.2867,80.2,76,0,2.3
kasongo-lunda,CD,16.8167,-6.4667,70.88,98,100,2.89
praia,CV,-23.5087,14.9215,73.94,94,40,12.66
jaciara,BR,-54.9683,-15.9653,76.95,73,62,1.57
havelock,US,-76.9013,34.8791,62.53,92,100,3.0
dingle,PH,122.6711,10.9995,80.2,84,89,9.1
kamaishi,JP,141.8833,39.2667,52.75,54,5,3.2
sur,OM,59.5289,22.5667,76.6,67,0,1.23
olinda,BR,-34.8553,-8.0089,80.33,65,75,13.8
atikokan,CA,-91.6216,48.7555,43.38,96,100,3.51
rio brilhante,BR,-54.5464,-21.8019,74.19,85,77,5.64
batagay,RU,134.6333,67.6333,13.08,88,100,4.32
jertih,MY,102.4897,5.7336,78.67,89,99,2.64
mayor pablo lagerenza,PY,-60.7718,-19.9309,86.38,39,43,5.03
greenwood,US,-82.1165,34.1668,58.75,48,90,3.44
nagai,JP,140.035,38.1036,52.11,60,41,4.68
broome,US,-75.833,42.2506,48.92,67,1,8.05
ulety,RU,112.4849,51.3572,33.17,71,100,4.65
vila velha,BR,-40.2925,-20.3297,76.95,78,75,6.91
nieves,PH,120.9485,15.3274,78.28,77,62,5.32
new richmond,US,-92.5366,45.123,46.35,87,90,10.36
saint pete beach,US,-82.7412,27.7253,78.69,71,90,1.01
tashtyp,RU,89.8983,52.7939,24.94,88,18,2.77
santa cruz,BO,-63.1667,-17.8,80.06,61,20,6.91
asfi,MA,-9.2372,32.2994,64.94,89,19,5.28
farrukhnagar,IN,78.2011,17.0778,69.51,68,96,9.64
sarangani,PH,125.4636,5.4033,84.0,75,26,16.8
istisu,AZ,48.0738,40.9457,41.43,58,0,4.76
vung tau,VN,107.0843,10.346,80.82,80,82,11.54
san carlos de bariloche,AR,-71.3082,-41.1456,60.55,44,0,17.27
meaux,FR,3.0,48.9167,50.4,79,5,11.32
magistralnyy,RU,107.4458,56.1725,22.91,65,39,2.57
erdaojiang,CN,126.0319,41.7764,42.71,56,8,2.28
pundaguitan,PH,126.1689,6.3711,82.72,76,71,9.73
helong,CN,128.9972,42.5397,44.6,44,0,2.75
kainantu,PG,145.8655,-6.2887,75.22,55,100,4.65
scarborough,GB,-0.4044,54.2797,54.45,85,100,3.0
coahuayana,MX,-103.6833,18.7333,85.48,82,20,3.27
sicuani,PE,-71.2261,-14.2694,52.32,67,70,1.23
san juan,AR,-68.5364,-31.5375,89.58,19,67,18.19
vadso,NO,29.7487,70.0744,31.08,96,100,13.96
kingsville,US,-97.8561,27.5159,74.68,24,1,1.01
koupela,BF,-0.3517,12.1794,83.64,51,47,7.72
jerome,US,-114.5186,42.7241,63.77,59,1,3.44
padang,ID,100.3543,-0.9492,78.91,78,100,4.23
puerto madero,MX,-92.4215,14.7208,79.0,100,90,6.91
adre,TD,22.2,13.4667,74.39,18,68,8.81
bilibino,RU,166.4372,68.0546,-14.75,94,15,2.75
saint-denis,FR,2.3333,48.9167,52.54,82,0,1.99
mehamn,NO,27.8492,71.0357,33.08,91,98,15.7
zhangye,CN,100.4517,38.9342,41.11,40,0,6.46
podosinovets,RU,47.0659,60.2776,21.99,89,7,3.83
tabas,IR,56.9244,33.5959,57.24,37,0,2.28
sobolevo,RU,31.8996,54.4299,43.05,94,64,5.79
warrnambool,AU,142.4833,-38.3833,55.81,59,86,26.53
rio grande,BR,-52.0986,-32.035,68.95,88,0,14.63
awjilah,LY,21.2869,29.1081,71.64,44,21,7.29
lasa,IT,10.7002,46.6166,41.88,50,9,4.25
dhidhdhoo,MV,73.1,6.8833,81.03,78,75,8.3
burnie,AU,145.9167,-41.0667,48.94,85,98,13.56
chor,PK,69.7667,25.5167,75.61,27,0,4.85
port hedland,AU,118.5667,-20.3167,84.25,45,1,10.36
cidreira,BR,-50.2056,-30.1811,68.22,84,1,18.23
myre,NO,15.9492,69.1036,40.95,87,99,17.25
amalapuram,IN,82.0167,16.5833,77.04,90,100,6.35
viramgam,IN,72.0484,23.1225,64.63,34,7,6.78
marystown,CA,-55.1483,47.1666,41.86,100,100,11.99
pangkalanbuun,ID,111.6167,-2.6833,76.12,91,100,1.32
arraias,BR,-46.9437,-12.9288,81.19,38,73,8.12
shalinskoye,RU,93.7594,55.7228,24.55,60,35,5.14
rochegda,RU,43.25,62.8,25.54,83,99,4.47
coracora,PE,-73.7833,-15.0333,54.59,59,74,3.53
culpeper,US,-77.9664,38.5004,59.85,76,90,3.0
havre-saint-pierre,CA,-63.5986,50.2334,34.11,93,1,0.0
salvador,SV,-88.9167,13.8333,77.04,95,57,2.53
mehran,IR,46.1646,33.1222,75.2,21,65,5.79
kiama,AU,150.8667,-34.6833,84.52,43,49,15.99
lisiy nos,RU,30.0201,60.0169,49.44,96,100,13.04
nador,MA,-2.9287,35.174,59.25,88,0,2.3
ordu,TR,37.6845,40.9086,45.1,92,100,3.56
yamada,JP,141.95,39.4667,54.97,58,5,3.27
berbera,SO,45.0143,10.4396,80.71,62,1,6.35
fairbanks,US,-147.7164,64.8378,24.96,87,75,0.0
rairangpur,IN,86.1751,22.2676,67.32,87,15,2.35
mikhaylovka,RU,43.2379,50.06,44.83,92,98,8.19
wanaka,NZ,169.15,-44.7,64.11,66,30,1.99
basse-pointe,MQ,-61.115,14.8695,79.84,51,75,9.31
gasa,PS,34.4667,31.5,71.6,34,92,7.83
baneh,IR,45.8853,35.9975,50.85,70,99,3.22
langxiang,CN,128.8833,46.95,41.85,52,0,1.63
winslow,US,-110.6974,35.0242,62.96,33,1,3.0
kalmunai,LK,81.8167,7.4167,77.74,87,97,5.1
potsdam,DE,13.0657,52.3989,46.06,84,44,7.31
mweka,CD,21.5667,-4.85,65.98,99,100,2.98
surab,PK,66.2585,28.4914,53.76,27,0,7.36
artyom,AZ,50.333,40.4723,42.94,79,23,8.23
sawtell,AU,153.1,-30.3833,77.02,65,100,11.5
ust-kuyga,RU,135.6,70.0167,9.57,96,100,1.83
bumba,CD,22.4667,2.1833,70.9,98,97,2.39
washougal,US,-122.3534,45.5826,66.18,83,40,0.0
ziro,IN,93.8333,27.6333,45.34,79,2,2.98
iracoubo,GF,-53.2011,5.4802,78.98,86,100,9.04
ngunguru,NZ,174.5,-35.6167,73.17,58,10,7.85
arlit,NE,7.3853,18.7369,82.98,12,32,8.25
nadym,RU,72.5167,65.5333,27.43,97,100,10.18
opuwo,NA,13.84,-18.0607,72.57,34,59,2.64
constantine,DZ,6.6147,36.365,56.23,76,53,1.57
cedral,MX,-100.7333,23.8,70.21,23,0,2.39
la ronge,CA,-105.2842,55.1001,43.05,56,1,3.44
santa maria,BR,-53.8069,-29.6842,68.7,66,15,9.73
port hawkesbury,CA,-61.3485,45.6169,45.75,78,90,5.01
caramoran,PH,124.1347,13.9849,82.72,73,76,15.14
alyangula,AU,136.4192,-13.8483,85.75,65,63,12.03
tuapse,RU,39.0742,44.1125,48.83,78,100,4.72
jizan,SA,42.6667,17.3333,79.74,61,1,1.25
lagoa,PT,-27.9833,39.05,69.51,88,97,36.57
skibbereen,IE,-9.2667,51.55,51.6,82,100,10.47
albury,AU,146.9167,-36.0833,58.39,73,90,13.8
monterey,US,-121.2516,36.2505,70.81,40,0,1.39
son la,VN,103.9,21.3167,64.49,96,98,0.92
fernie,CA,-115.0687,49.5,40.03,99,100,3.8
poddorye,RU,31.1156,57.4695,46.94,95,100,9.31
whyalla,AU,137.5833,-33.0333,57.09,88,75,10.36
selenginsk,RU,106.8647,52.0064,25.21,82,75,3.8
sukhoy log,RU,62.0296,56.9094,36.68,95,100,14.38
sajanan,TN,9.2426,37.0573,52.72,88,3,3.0
makakilo city,US,-158.0858,21.3469,81.16,64,90,10.36
podgornoye,RU,39.1496,51.735,46.62,87,90,8.95
hami,CN,93.45,42.8,47.08,38,46,3.36
popondetta,PG,148.2534,-8.7537,90.12,51,80,3.56
bosaso,SO,49.1816,11.2842,78.44,55,1,5.84
desbiens,CA,-71.9495,48.4178,32.68,74,0,4.45
rundu,NA,19.7667,-17.9333,65.68,83,49,2.93
ghanzi,BW,21.7833,-21.5667,66.24,78,63,1.5
miandrivazo,MG,45.4667,-19.5167,72.79,77,0,2.8
okhotsk,RU,143.3,59.3833,23.68,83,67,6.93
jesus del monte,MX,-99.9944,19.1081,62.01,89,65,1.1
assomada,CV,-23.6833,15.1,69.35,81,100,9.42
namie,JP,141.0,37.4833,61.48,54,46,14.14
smiths falls,CA,-76.0161,44.9001,41.7,75,0,9.31
kariya,JP,136.9833,34.9833,61.23,51,26,13.0
qorveh,IR,47.8045,35.1664,47.7,50,43,3.78
carutapera,BR,-46.02,-1.195,77.2,83,78,4.68
gimli,CA,-96.9907,50.6336,42.82,87,28,3.44
ila,NO,10.3705,63.4305,44.76,94,100,1.01
reconquista,AR,-59.65,-29.15,77.52,38,4,9.42
vokhtoga,RU,41.0461,58.8147,28.08,75,65,2.89
san jose de buan,PH,125.0251,12.0529,79.66,82,33,4.03
inuvik,CA,-133.7218,68.3499,18.27,95,97,1.95
ardesen,TR,40.9875,41.1911,55.36,75,90,3.42
puerto escondido,MX,-97.0667,15.85,82.58,78,46,0.94
arnedo,ES,-2.1,42.2167,49.5,55,100,7.05
morwa,IN,73.8333,22.9,67.21,47,19,6.76
tafresh,IR,50.013,34.692,43.36,51,8,1.95
hobyo,SO,48.5268,5.3505,78.69,78,41,5.86
platteville,US,-90.4785,42.7342,50.23,95,100,13.76
nisia floresta,BR,-35.2086,-6.0911,76.08,77,77,11.86
nadvoitsy,RU,34.3167,63.8667,36.73,94,100,14.5
barcelos,PT,-8.6151,41.5388,59.77,91,100,6.15
korla,CN,86.1469,41.7597,46.76,45,57,3.4
jenks,US,-95.9683,36.0229,57.63,60,90,7.0
male,MV,73.5089,4.1748,81.28,77,70,9.84
el tarra,CO,-73.0949,8.5756,76.33,96,77,0.34
petropavl,KZ,69.1628,54.8753,34.43,68,70,16.46
boundiali,CI,-6.4869,9.5217,75.63,76,77,2.75
oktyabrskiy,RU,53.471,54.4815,38.03,82,100,5.37
general roca,AR,-67.5833,-39.0333,73.62,23,5,2.33
launceston,AU,147.1667,-41.45,47.88,87,90,28.77
arman,RU,150.1667,59.7,27.86,94,100,1.25
maputo,MZ,32.5892,-25.9653,68.2,72,40,1.01
yingkou,CN,122.2283,40.6648,54.88,56,100,6.89
huilong,CN,121.655,31.8111,61.09,67,81,5.95
massa marittima,IT,10.8928,43.049,50.14,65,100,3.4
saint-pierre,RE,55.4781,-21.3393,72.43,71,90,3.44
minab,IR,57.0801,27.1467,74.7,67,29,0.29
xai-xai,MZ,33.6442,-25.0519,64.08,72,40,5.06
kimberley,ZA,24.7623,-28.7323,56.89,94,86,5.75
kuryk,KZ,51.65,43.2,53.11,61,88,20.29
changji,CN,87.3167,44.0167,43.59,56,0,6.71
kargala,RU,83.9607,56.6208,32.07,62,100,15.84
maldonado,UY,-54.9167,-34.6667,65.59,80,0,9.44
killorglin,IE,-9.7833,52.1,48.65,85,99,3.85
avinurme,EE,26.8642,58.9822,51.66,87,100,11.68
rincon,US,-81.2354,32.296,70.34,98,40,6.91
malakal,SS,31.6605,9.5334,74.07,75,54,2.13
sawakin,SD,37.3321,19.1059,83.16,78,33,4.81
vila franca do campo,PT,-25.4333,37.7167,70.21,86,99,14.38
picton,AU,150.6,-34.1833,82.24,45,74,13.24
bereda,ES,-7.5406,43.2686,53.65,100,97,7.18
kupang,ID,123.5833,-10.1667,86.56,65,95,6.51
kurumkan,RU,110.3,54.3,23.77,70,23,4.74
honiara,SB,159.95,-9.4333,88.25,64,19,5.66
khirkiya,IN,76.8605,22.1674,62.04,65,22,5.5
velingara,SN,-14.1167,13.15,77.99,66,100,5.1
lovozero,RU,35.0117,68.005,26.73,92,100,10.87
watertown,US,-71.1828,42.3709,42.24,83,1,1.01
simbahan,PH,120.5836,6.3032,83.57,73,85,9.37
petropavlovsk-kamchatskiy,RU,158.6483,53.0452,39.79,70,0,8.95
hargeysa,SO,44.065,9.56,63.57,40,1,8.99
aran,AZ,46.9756,40.6253,42.48,59,0,1.12
qaqortoq,GL,-46.0333,60.7167,30.7,72,95,4.92
karonga,MW,33.9333,-9.9333,76.46,67,7,3.83
kokopo,PG,152.2633,-4.352,85.32,65,73,3.42
iwanai,JP,140.5089,42.9744,49.48,85,91,6.53
port shepstone,ZA,30.455,-30.7414,66.31,83,100,25.61
williamsburg,US,-76.7075,37.2707,61.65,79,90,1.01
lewistown,US,-77.5714,40.5992,58.57,76,90,3.44
cockburn town,TC,-71.1419,21.4612,82.67,71,7,7.63
leirvik,NO,5.5005,59.7798,54.59,88,100,17.58
shingu,JP,135.9833,33.7333,61.41,48,0,3.85
cunha,BR,-44.9597,-23.0744,60.22,99,100,2.62
tilichiki,RU,166.1,60.4667,7.95,86,36,3.65
butterworth,MY,100.3638,5.3991,77.81,88,40,5.75
bertinoro,IT,12.1389,44.1469,44.69,89,0,7.0
newark,US,-74.1724,40.7357,53.13,75,1,1.01
bonnyville,CA,-110.735,54.2668,41.32,32,20,6.73
guane,CU,-84.0875,22.2025,79.32,86,100,6.73
salym,RU,71.4789,60.0625,33.17,97,100,12.01
celestun,MX,-90.4,20.8667,81.19,64,65,18.77
vestmannaeyjar,IS,-20.2734,63.4427,44.44,83,95,12.59
kotido,UG,34.1331,2.9806,73.26,50,65,6.31
timberlake,US,-79.2575,37.3207,59.29,88,90,3.0
ous,RU,61.5186,60.9058,21.76,75,64,16.73
bursa,TR,29.0833,40.1667,42.84,86,22,5.23
pombas,CV,-25.0201,17.1503,74.98,80,86,14.67
kunigal,IN,77.0267,13.0222,71.11,76,98,5.75
mustasaari,FI,21.6822,63.1142,48.09,100,90,12.66
kembe,CF,21.8865,4.6228,69.39,96,99,2.28
phan thiet,VN,108.1,10.9333,77.9,84,74,3.53
karasjok,NO,25.5112,69.4719,33.91,99,100,7.07
ust-karsk,RU,118.8077,52.7011,35.26,77,77,1.19
tshikapa,CD,20.8,-6.4167,71.55,98,100,2.53
luena,AO,19.9167,-11.7833,61.14,91,71,3.65
langsa,ID,97.9683,4.4683,75.31,96,100,2.66
katy,US,-95.8244,29.7858,69.87,28,1,1.99
zalantun,CN,122.7167,48.0,41.68,54,5,2.42
kamiiso,JP,140.65,41.8167,53.98,66,75,11.5
martapura,ID,114.85,-3.4167,75.29,100,20,4.61
manokwari,ID,134.0833,-0.8667,83.1,69,85,0.98
malkara,TR,26.9011,40.89,48.04,73,21,10.54
bani,DO,-70.3333,18.2833,82.85,82,10,3.85
sabancuy,MX,-91.1833,18.9667,82.2,81,34,13.91
terney,RU,136.6092,45.0503,45.43,61,2,6.2
san quintin,MX,-115.95,30.4833,73.89,43,0,3.42
dawlatabad,AF,64.9053,36.4141,42.98,72,0,4.97
naron,ES,-8.1528,43.5167,59.13,92,79,10.83
sidhi,IN,81.8833,24.4167,62.55,55,0,1.23
kodinsk,RU,99.1844,58.6881,20.25,82,50,4.14
chateaubelair,VC,-61.25,13.2833,81.21,78,61,8.1
mumbwa,ZM,27.0619,-14.9783,67.64,58,2,6.91
hailar,CN,119.7,49.2,36.36,55,42,6.71
terra santa,BR,-56.4869,-2.1042,77.99,75,26,2.73
bubaque,GW,-15.8333,11.2833,80.02,80,55,16.13
chegdomyn,RU,133.0167,51.1167,35.62,73,12,0.65
dzaoudzi,YT,45.2699,-12.7887,78.69,73,20,11.5
gairo,IT,9.5047,39.8497,49.21,94,100,2.44
bay roberts,CA,-53.2648,47.5999,39.15,88,100,17.0
makaha,US,-158.2175,21.4694,81.95,69,90,10.36
syedove,UA,38.156,47.0768,51.01,71,100,9.86
requena,ES,-1.1004,39.4883,51.12,86,97,1.41
najran,SA,44.1277,17.4924,63.25,28,0,0.47
elko,US,-115.5012,41.0002,62.22,50,4,1.45
buchanan,LR,-10.0467,5.8808,75.16,87,93,4.79
naze,JP,129.4833,28.3667,74.32,60,52,10.63
sicamous,CA,-118.9856,50.8331,42.91,100,100,2.51
hirara,JP,125.2833,24.8,77.27,65,20,8.05
moerai,PF,-151.3333,-22.4333,72.82,77,96,15.88
tandil,AR,-59.1332,-37.3217,71.37,77,98,9.06
san luis,AR,-66.3356,-33.295,80.19,29,13,9.42
ornskoldsvik,SE,18.7153,63.2909,41.95,100,90,3.44
saint anthony,US,-93.218,45.0205,46.8,93,90,3.0
sao domingos,BR,-46.3183,-13.3983,78.6,43,51,10.49
nha trang,VN,109.1833,12.25,80.6,88,88,4.18
chapais,CA,-74.8492,49.7834,37.18,66,0,5.64
